Categorie;#;Item;Uren;Uren min;Uren max;Opmerking
Backlog spoed;1;"Klant > bij salesdoel: meerdere afdelingen aanklikken + category management als keuze";4-6;4;6;"Multi-select + nieuwe optie in config"
Backlog spoed;2;"Homepagina -> dashboard ontwikkelen (interim opdrachten, lopende opdrachten, etc.)";16-24;16;24;"Nieuw dashboard, aggregaties, widgets"
Backlog spoed;3;"Netwerk > kolom uurtarief ZZP, jaarsalaris, emolumenten (zie opdracht bewerken)";4-6;4;6;"Nieuwe velden + migratie"
Backlog spoed;4;"Netwerk: locatie – Google API of adres/postcode/land/stad structureren";8-12;8;12;"API-integratie of DB-refactor"
Backlog spoed;5;"Klant > nieuw account labels: pet toevoegen";1-2;1;2;"Label/optie toevoegen"
Backlog spoed;6;"Klanten: Moederbedrijf-niveau, per klant koppelbaar";6-8;6;8;"Hiërarchie, relatie, UI"
Backlog spoed;7;"Netwerk > contact bewerken: koppeling welke bedrijven, kolom naar gekoppeld bedrijf";4-6;4;6;"Relatieweergave, kolom"
Backlog spoed;8;"Opdracht > min/max werkuren per week";2-3;2;3;"Twee velden + validatie"
Backlog spoed;9;"Opdracht > upload rolprofiel PDF/Word, AI-samenvatting in omschrijving";8-12;8;12;"File upload + Vertex AI parsing"
Backlog spoed;10;"Opdracht > bonusregeling in emolumenten (percentage of maanden)";4-6;4;6;"Configuratie emolumenten"
Backlog spoed;11;"Opdracht > info-balk: startdatum, invoerdatum, totaal fee, voor fee";4-6;4;6;"Nieuwe velden + UI"
Backlog spoed;12;"Netwerk > oude bedrijven en functies invoeren";6-8;6;8;"Geschiedenis, werkervaring/relaties"
Backlog spoed;13;"Netwerk: beschikbaarheidsdatum alleen voor interim";2-3;2;3;"Conditionele weergave/validatie"
Backlog spoed;14;"Klanten > gekoppelde opdrachten aanklikscherm (events, kandidatenlijst met aantallen)";6-8;6;8;"Modal/detailview + counts"
Backlog spoed;15;"In tabel recruiter ook naam Adriaan van Essen";0,5-1;0.5;1;"Config/data aanpassing"
Backlog spoed;16;"Prio na 3 uur invoeren (zie beschrijving)";4-8;4;8;"Afhankelijk van scope"
Backlog spoed;17;"Filter functionaliteiten versimpelen en vertalen";4-6;4;6;"UX + i18n"
Backlog spoed;18;"Tabel kolommen rangeerbaar maken";4-6;4;6;"Drag & drop / volgorde"
Backlog spoed;19;"Opdracht > snelkoppeling naar opdracht scrollen";2-3;2;3;"Navigation/anchor"
Backlog spoed;20;"Netwerk: namen alfabetisch op voornaam";2-3;2;3;"Sortering default/query"
Backlog spoed;21;"Nieuwe opdracht: Adriaan van Essen toevoegen";0,5-1;0.5;1;"Data/selectie"
Backlog spoed;22;"Opdrachten > kunnen verwijderen";2-3;2;3;"Delete + confirmatie"
Backlog spoed;23;"Status aan klant toevoegen (met kleurtje)";3-4;3;4;"Statusveld + kleur"
Backlog spoed;24;"Klanten: afbeelding toevoegen makkelijker";2-4;2;4;"UX verbetering upload"
Backlog spoed;25;"Klanten: 2 afbeeldingen (holding + bedrijf)";4-6;4;6;"Multi-image, structuur"
Backlog spoed;26;"Limiet plaats kandidaat: alleen woonplaats";2-3;2;3;"Validatie/constraint"
Backlog spoed;27;"Klant > contactpersoon doorklikken naar meer info";2-3;2;3;"Link/detail-navigatie"
Backlog spoed;28;"Heeft gewerkt bij filter";4-6;4;6;"Filter op werkervaring"
Backlog spoed;29;"Klant > salesdoel";2-4;2;4;"Velden/schema uitbreiden"
Backlog midden;1;"Netwerk: Modulair – verplaatsen balken/kolommen, kiezen uit lijst";20-40;20;40;"Layout-engine, configuratie"
Backlog midden;2;"Instelling – overzicht en notificatie";4-8;4;8;"UX/design + implementatie"
Backlog midden;3;"Agenda – meerdere personen uitnodigen";6-8;6;8;"Invitees, UI"
Backlog midden;4;"Opdrachten > aanklikbaar ipv snelkoppeling";2-3;2;3;"Routing/navigatie"
Backlog midden;5;"Opdracht > direct naar opdracht vanuit klanten (geen scrollen)";2-3;2;3;"Deep link / state"
Backlog midden;6;"Hugo email: hugo@aveconsult.nl fixen";0,5-1;0.5;1;"Config/data"
Backlog midden;7;"Netwerk/Klanten: persoon als contactpersoon + afdeling";4-6;4;6;"Koppeling + UI"
Backlog midden;8;"Notificaties bij statusveranderingen klanten/opdrachten, monitor";12-16;12;16;"Events, notificaties, preferences"
Backlog midden;9;"Netwerk > na x maanden rappel CV-houdbaarheid AVG";6-8;6;8;"Cron, datumlogica, notificaties"
Backlog midden;10;"Agenda: Outlook koppelen en toevoegen";16-24;16;24;"OAuth, sync, API"
Backlog midden;11;"Nieuwe CRM-gebruiker > e-mailverificatie bij aanmelding";4-6;4;6;"Auth-flow, mail"
Backlog midden;12;"LinkedIn browser-extensie: profiel opslaan → Gemini → netwerk + koppeling";24-40;24;40;"Extensie, API, AI, koppeling"
Backlog midden;13;"Export alle Peoplematch-velden naar Excel";6-10;6;10;"Export builder, mappings"
Backlog midden;14;"Opdracht on-hold > wekelijkse notificatie in agenda";4-6;4;6;"Cron, agenda-event"
Backlog midden;15;"Agenda – koppeling Outlook";*zie item 10*;0;0;"Duplicaat/verwante scope"
Backlog midden;16;"Netwerk > NAW verrijken vanuit LinkedIn";8-12;8;12;"API, matching, UI"
Backlog midden;17;"Kandidaat > … (onvolledig)";-;-;-;"Scope onduidelijk"
Doing;1;"Dropdowns, multi-select modulair maken";8-12;8;12;"Herbruikbare componenten"
Doing;2;"CRM momenten lijst";4-8;4;8;"Afhankelijk van definitie"
Doing;3;"Risicoanalyse LinkedIn importer";4-8;4;8;"Analyse + mitigatie"
Testing;1;"Netwerk > Excel-import (LinkedIn-extensie format)";6-8;6;8;"Parser, mapping"
Testing;2;"Klant > contactpersoon: functie naast naam";2-3;2;3;"Kolom toevoegen"
Testing;3;"Klant > gekleurde status breder + extra kleuren";2-3;2;3;"UI-tweak"
Testing;4;"Opdrachten > Lead recruiter, 2e keuze, assistent (onbeperkt)";6-8;6;8;"Rolmodel, UI"
Testing;5;"Klant > Klant status (potentieel/actief/etc.)";4-6;4;6;"Statusmodel + kleuren"
Testing;6;"Netwerk > rollen: budgethouder, geplaatste kandidaat, etc.";4-6;4;6;"Uitbreiding rollen"
Testing;7;"Koppelen kandidaat aan opdracht (Jan te Voert / Bidfood)";2-4;2;4;"Bugfix/flow"
Testing;8;"Klanten > salesdoel afdelingen (marketing, sales, etc.)";4-6;4;6;"Config + UI"
Testing;9;"Opdracht > kandidatenlijst filteren op kolommen";4-6;4;6;"Filtering"
Testing;10;"Klanten > secundaire categorie 'supermarkten'";2-3;2;3;"Categorie toevoegen"
Testing;11;"Opdracht > startdatum opdracht";2-3;2;3;"Veld + validatie"
Testing;12;"Doe ik toch niet";-;-;-;"Niet inschatten"
Testing;13;"Testen doublure-check handmatige invoer + CV";2-4;2;4;"Testscenario's"
;;;;;
Samenvatting;;;;;;
Backlog spoed;29;;110-160;110;160;Subtotaal
Backlog midden;16;;120-190;120;190;Subtotaal (zonder duplicaten)
Doing;3;;16-28;16;28;Subtotaal
Testing;12;;40-60;40;60;Subtotaal
Totaal;~60;;286-438;286;438;"Met buffer 20%: ~345-525 uur"
